,2Means_pept,3Means_pept,100Means_pept,1000Means_pept,500Means_pept
814,0,2,75,344,474
815,0,2,13,785,474
816,1,2,54,920,1
817,0,2,72,261,295
818,1,2,0,745,145
819,1,2,51,288,387
820,1,1,29,463,203
821,0,0,31,118,94
822,1,0,11,201,217
823,1,0,91,192,22
824,1,0,76,809,244
825,0,0,24,228,66
826,1,0,24,561,264
827,0,0,70,37,62
828,0,0,24,887,370
829,0,0,81,365,75
830,0,0,15,23,0
831,1,0,9,177,144
832,1,2,51,950,196
833,1,2,39,463,470
834,1,2,10,350,278
835,1,2,91,718,461
836,1,2,10,107,124
837,1,2,47,397,415
838,1,2,55,420,65
839,1,2,71,158,143
840,0,1,31,510,94
841,1,2,30,434,498
842,1,2,55,283,294
843,1,2,25,184,49
844,1,2,10,107,197
845,1,2,93,267,112
846,0,2,61,218,317
847,1,2,86,759,193
848,1,2,39,340,498
849,1,2,8,129,343
850,1,2,55,459,65
851,1,2,54,912,55
852,0,2,22,276,477
853,0,1,80,800,296
854,1,2,17,466,467
855,1,2,71,687,386
856,1,1,47,311,415
857,0,1,42,156,253
858,0,2,51,438,368
859,1,2,72,353,60
860,1,2,25,982,475
861,1,2,0,54,197
862,1,2,5,954,384
863,1,2,86,759,193
864,1,0,91,462,2
865,1,2,46,871,307
866,0,2,75,784,68
867,1,2,91,192,461
868,0,2,46,230,413
869,1,2,34,119,473
870,1,2,99,193,256
871,0,2,68,676,256
872,1,2,47,57,440
873,1,2,25,193,343
874,1,2,47,57,256
875,0,1,23,846,230
876,1,2,85,193,459
877,1,2,99,193,256
878,1,2,99,193,294
879,1,2,99,413,498
880,1,2,34,119,256
881,1,2,34,119,2
882,1,2,34,57,256
883,1,2,34,119,312
884,1,2,34,119,256
885,1,2,34,119,256
886,1,2,34,119,312
887,1,2,34,119,256
888,1,2,34,119,256
889,1,2,34,119,256
890,1,2,10,929,312
891,1,2,30,463,437
892,1,2,93,87,112
893,1,1,64,761,155
894,1,2,55,434,498
895,1,2,78,38,483
896,1,2,75,344,246
897,1,2,55,129,294
898,1,2,0,954,57
899,1,2,78,32,45
900,1,2,16,780,47
901,1,2,72,273,352
902,1,2,30,86,263
903,0,2,31,759,94
904,1,2,8,184,498
905,1,2,55,434,498
906,1,2,12,907,209
907,0,2,20,485,288
908,1,2,55,86,65
909,1,2,64,167,386
910,1,2,12,86,209
911,0,2,86,821,273
912,0,2,31,781,254
913,0,2,4,32,45
914,1,2,90,763,422
915,1,2,54,989,397
916,0,1,14,176,6
917,1,2,49,446,145
918,0,2,86,7,349
919,1,2,25,128,368
920,1,2,61,996,254
921,1,2,55,86,294
922,1,2,78,469,185
923,1,1,93,267,173
924,1,2,72,353,352
925,0,2,16,219,168
926,1,0,35,351,290
927,0,0,95,693,105
928,0,0,24,80,66
929,0,0,70,37,62
930,0,0,24,668,134
931,1,0,24,71,105
932,0,1,46,91,367
933,1,2,55,86,65
934,1,2,62,42,316
935,1,2,54,517,397
936,1,2,10,107,124
937,0,1,32,59,333
938,1,2,5,148,277
939,1,2,16,780,47
940,1,2,17,683,438
941,1,2,68,11,242
942,0,2,22,420,81
943,0,2,46,548,221
944,1,2,17,954,57
945,0,1,50,815,168
946,1,2,91,462,20
947,1,2,31,996,46
948,1,2,54,384,78
949,0,2,10,857,92
950,1,2,39,683,467
951,0,2,50,361,179
952,1,2,75,344,474
953,1,2,8,176,6
954,1,2,85,380,117
955,0,1,3,614,81
956,1,2,46,871,307
957,1,2,55,920,294
958,0,2,99,676,256
959,1,2,16,279,47
960,1,2,49,713,93
961,1,2,99,193,387
962,0,1,79,671,51
963,0,2,34,119,360
964,1,2,99,193,256
965,1,2,99,193,256
966,0,1,79,994,51
967,1,2,93,131,156
968,1,2,78,193,256
969,0,1,86,105,193
970,1,2,68,328,20
971,1,2,99,193,256
972,1,2,72,14,434
973,0,2,25,356,368
974,0,2,91,676,51
975,1,2,0,452,78
976,1,2,47,57,256
977,0,1,27,958,148
978,0,2,75,57,440
979,0,2,86,759,333
980,1,2,84,417,17
981,0,1,93,97,156
982,1,2,34,119,322
983,0,2,99,676,90
984,1,2,25,958,256
985,0,2,47,994,256
986,1,2,16,662,219
987,0,1,40,345,493
988,1,2,47,4,440
989,1,2,86,688,88
990,1,2,5,729,58
991,1,2,54,282,277
992,1,2,31,21,212
993,1,2,91,192,461
994,0,0,91,863,20
995,1,2,25,356,41
996,1,2,20,399,284
997,0,1,63,555,186
998,1,2,35,377,121
999,0,0,25,129,343
1000,1,0,86,759,193
1001,1,2,47,644,416
1002,0,2,71,687,421
1003,0,2,18,453,372
1004,0,2,47,667,416
1005,1,2,62,42,399
1006,0,2,31,996,254
1007,1,2,54,288,387
1008,1,2,80,626,97
1009,0,2,62,525,316
1010,1,2,90,157,422
1011,1,2,68,864,432
1012,1,2,84,417,418
1013,1,2,93,53,159
1014,1,2,17,466,345
1015,1,2,55,431,218
1016,1,2,55,517,294
1017,0,2,16,661,47
1018,1,2,47,291,8
1019,1,1,63,666,227
1020,0,1,71,894,338
1021,1,2,0,54,197
1022,1,2,90,728,272
1023,1,2,55,459,294
1024,1,2,93,713,93
1025,1,2,18,453,180
1026,1,1,29,412,358
1027,1,2,47,376,163
1028,1,2,55,743,14
1029,1,2,10,107,439
1030,1,2,25,128,339
1031,0,2,13,781,317
1032,1,2,85,772,459
1033,1,2,30,369,33
1034,1,2,86,759,193
1035,1,2,10,24,124
1036,0,2,86,597,273
1037,1,0,35,875,323
1038,0,0,16,780,314
1039,0,0,77,532,272
1040,0,0,98,203,315
1041,1,0,24,561,106
1042,0,0,95,971,361
1043,0,0,24,82,139
1044,0,0,70,37,62
1045,1,0,24,228,66
1046,0,0,1,690,83
1047,0,0,1,690,83
1048,1,2,52,283,484
1049,1,1,16,410,447
1050,1,2,39,810,305
1051,1,2,86,759,193
1052,1,2,5,810,320
1053,1,2,49,745,118
1054,1,2,55,469,294
1055,1,2,86,759,193
1056,1,2,12,47,209
1057,1,2,86,759,170
1058,1,1,43,301,4
1059,1,2,20,399,284
1060,0,2,31,996,123
1061,1,2,18,47,180
1062,1,2,72,353,60
1063,1,2,0,54,197
1064,1,2,0,54,300
1065,0,2,10,672,408
1066,0,2,86,759,273
1067,1,2,75,268,474
1068,1,2,10,107,278
1069,1,2,17,810,438
1070,1,2,91,462,20
1071,1,2,86,597,440
1072,1,2,51,463,118
1073,1,2,86,759,193
1074,1,2,86,759,193
1075,1,2,52,614,466
1076,1,2,54,384,397
1077,1,2,5,505,197
1078,1,2,54,64,150
1079,1,2,54,377,412
1080,1,2,51,438,263
1081,1,2,47,644,278
1082,1,2,18,893,14
1083,1,2,55,384,397
1084,1,2,49,462,157
1085,1,2,93,131,159
1086,1,2,10,24,124
1087,0,2,71,687,386
1088,0,2,10,20,278
1089,1,2,93,53,112
1090,1,2,25,129,475
1091,1,1,29,147,210
1092,1,1,25,348,41
1093,0,2,72,979,352
1094,1,2,54,643,150
1095,1,2,93,495,26
1096,0,2,77,644,360
1097,1,2,91,462,342
1098,0,2,40,55,352
1099,1,2,17,840,7
1100,0,2,13,230,413
1101,0,2,72,181,352
1102,1,2,64,158,386
1103,1,2,55,505,294
1104,0,2,91,735,393
1105,1,1,23,509,59
1106,0,2,40,815,168
1107,0,1,34,994,213
1108,1,2,78,180,304
1109,1,1,8,209,343
1110,1,2,18,800,153
1111,1,2,55,265,294
1112,1,2,80,944,110
1113,1,2,25,184,49
1114,1,2,85,378,248
1115,1,2,85,265,294
1116,0,0,35,957,462
1117,0,0,24,693,105
1118,0,0,70,37,62
1119,1,0,1,288,271
1120,1,2,55,265,122
1121,1,2,17,265,110
1122,1,2,61,448,123
1123,0,2,98,784,68
1124,1,1,5,258,110
1125,1,2,85,726,395
1126,1,2,91,718,342
1127,1,2,99,958,475
1128,1,2,34,576,473
1129,1,2,46,138,307
