,2Means_prot,3Means_prot,100Means_prot,1000Means_prot,500Means_prot
992,0,0,49,215,384
993,0,0,39,171,25
994,1,2,86,31,487
995,1,2,78,909,468
996,1,2,19,401,49
997,1,2,82,56,400
998,0,0,22,540,90
999,1,2,78,250,165
1000,1,2,78,113,468
1001,1,2,56,889,273
1002,1,2,19,542,195
1003,1,2,57,250,257
1004,1,2,33,310,358
1005,1,2,15,387,181
1006,0,0,19,480,90
1007,1,2,90,97,54
1008,1,2,5,165,81
1009,1,2,64,577,109
1010,1,2,22,539,109
1011,1,2,42,375,54
1012,1,2,32,704,241
1013,1,2,8,197,225
1014,0,0,22,529,279
1015,1,2,26,430,107
1016,0,0,25,526,126
1017,0,0,26,677,106
1018,1,2,73,357,219
1019,1,2,25,266,250
1020,1,2,49,364,80
1021,1,2,82,56,289
1022,0,0,22,564,216
1023,1,2,26,13,368
1024,1,2,73,419,374
1025,1,2,57,95,257
1026,1,2,73,357,30
1027,0,0,13,977,27
1028,1,2,74,107,399
1029,1,2,31,39,253
1030,1,2,78,113,468
1031,0,0,31,141,124
1032,0,0,41,58,129
1033,0,0,25,260,89
1034,1,2,56,999,468
1035,1,2,33,59,358
1036,1,2,89,542,194
1037,1,1,77,162,144
1038,0,1,77,212,127
1039,1,1,40,522,155
1040,1,1,16,625,85
1041,1,2,33,329,431
1042,1,2,38,119,406
1043,0,0,13,961,61
1044,0,0,67,836,99
1045,0,0,26,13,345
1046,1,2,66,59,212
1047,1,2,66,59,212
1048,0,0,43,14,135
1049,0,1,38,783,30
1050,1,1,94,142,98
1051,0,1,22,328,194
1052,1,1,26,677,252
1053,1,1,87,908,101
1054,1,1,2,334,29
1055,1,1,70,542,194
1056,1,1,33,329,358
1057,1,1,78,113,468
1058,1,1,0,655,19
1059,1,1,2,752,283
1060,0,1,87,256,452
1061,1,1,69,177,68
1062,1,1,66,220,283
1063,1,1,82,13,479
1064,1,1,82,787,24
1065,1,1,5,718,302
1066,1,1,90,832,445
1067,1,1,2,334,5
1068,1,1,44,137,385
1069,1,1,26,137,284
1070,1,1,39,164,424
1071,1,1,66,752,283
1072,1,1,87,908,1
1073,1,1,78,113,468
1074,1,1,78,113,468
1075,0,0,25,394,328
1076,1,1,26,346,29
1077,0,0,41,526,8
1078,1,1,26,346,297
1079,1,1,95,807,398
1080,1,1,2,334,29
1081,1,1,42,375,54
1082,1,1,94,142,287
1083,1,1,73,175,253
1084,1,1,75,700,493
1085,1,1,39,322,431
1086,1,1,2,527,29
1087,1,1,2,328,283
1088,0,0,24,102,306
1089,1,2,31,98,310
1090,1,2,71,692,143
1091,0,0,27,58,6
1092,1,2,78,406,480
1093,1,2,86,395,386
1094,1,2,32,704,241
1095,1,2,78,549,431
1096,1,2,8,197,495
1097,1,2,66,2,81
1098,1,2,49,578,368
1099,1,2,19,171,289
1100,0,0,62,63,325
1101,1,2,78,113,468
1102,0,0,21,275,123
1103,0,0,60,861,364
1104,1,2,43,433,158
1105,1,2,53,269,135
1106,0,0,94,113,10
1107,1,2,1,459,267
1108,1,2,71,640,186
1109,0,0,34,406,10
1110,1,2,57,95,257
1111,1,2,26,29,126
1112,1,2,93,188,30
1113,1,2,78,212,480
1114,0,0,41,581,90
1115,0,0,13,323,90
1116,1,1,84,811,154
1117,0,0,71,565,143
1118,0,0,67,836,99
1119,1,2,56,375,386
1120,1,1,26,585,29
1121,1,1,31,142,101
1122,0,1,95,767,398
1123,1,1,93,506,85
1124,1,2,38,953,159
1125,0,0,80,353,162
1126,1,2,22,692,86
1127,1,2,78,212,194
1128,1,2,66,2,283
1129,1,2,56,434,194
1130,1,2,56,401,105
1131,1,2,88,954,201
1132,1,2,78,805,165
1133,1,2,73,194,141
1134,1,2,22,542,194
1135,0,0,62,558,250
1136,0,0,41,526,6
1137,1,2,66,2,141
1138,0,0,34,113,468
1139,1,2,73,22,457
1140,0,0,35,360,409
1141,1,2,17,311,381
1142,1,2,56,23,135
1143,1,2,87,227,450
1144,1,2,42,36,381
